Price,close,high,low,open,volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-06-09,288.8515625,298.8996014692473,288.043783785089,296.31863940682206,4867400
2010-06-10,295.72760009765625,296.7127020300269,287.64976425221727,287.64976425221727,1796036
2010-06-11,299.1163635253906,300.77133970578075,295.92464264562125,300.1802785020944,3237024
2010-06-14,307.7459411621094,310.1495810183965,298.68300051328924,300.79110969624526,3550492
2010-06-15,303.4287414550781,308.02316075404656,299.6859051644218,299.6859051644218,2642976
2010-06-16,306.8745422363281,308.9143091561408,303.9040219691189,307.7854969501078,2328816
2010-06-17,307.0726013183594,310.8352606224421,302.47820594303727,307.7459241339215,1528920
2010-06-18,310.201416015625,312.4590153904576,305.8644532486842,307.07245952736537,2225672
2010-06-21,311.9839782714844,314.47921151288693,310.7561482056624,314.04354469305184,1907428
2010-06-22,308.3994140625,311.50854884090035,306.28042850104725,310.91444480623875,1468324
2010-06-23,311.42938232421875,312.47897596434086,304.91403548408823,304.973455567174,2959524
2010-06-24,306.3398132324219,312.3006515243401,304.0624146956242,311.4292942058653,3777510
2010-06-25,300.4187316894531,307.2707295681699,299.4681551693524,307.2707295681699,2037322
2010-06-28,302.89404296875,303.84461910212576,300.06213737594106,300.3988108363328,1153124
2010-06-29,298.55712890625,302.99311131855615,296.6560004935929,302.99311131855615,2614662
2010-06-30,297.44805908203125,300.9730856968722,293.5863832151207,299.03233636076374,3316516
2010-07-01,289.9227600097656,297.05200820672707,287.4473266080429,297.05200820672707,3407744
2010-07-02,294.5962829589844,295.4676400836046,289.46718169106833,291.0316599552948,2943550
2010-07-05,292.6950988769531,296.6161930917816,291.94255782994003,296.5765716726986,2165596
2010-07-06,300.6759948730469,301.7651853615002,291.4475615770138,291.7050162712172,2760904
2010-07-07,302.8345947265625,303.9436081703963,296.6361243254816,301.5671922321576,2152934
2010-07-08,307.6665344238281,308.5378914553216,304.83465428915486,305.765407193207,2187564
2010-07-09,306.7359313964844,310.51838908171743,305.2704698784869,308.93411158640254,1836666
2010-07-12,313.5680236816406,314.47897810328146,308.8547900328516,308.8547900328516,2725776
2010-07-13,306.8150634765625,313.68685550257146,304.7950957358821,313.68685550257146,5545886
2010-07-14,306.8150634765625,310.7955547248145,305.0723490541107,308.14188583459674,2833842
2010-07-15,309.7657775878906,310.8747909232745,303.09201981695537,305.3694182017283,3795536
